name,model,brand,price,elabel,bodytype,length,height,width,weighttotal,emissionsco2,modeldate,fueltype,numberofdoors,numberofforwardgears,seatingcapacity,drivewheelconfiguration,fuelcapacity,fuelconsumption,speed,payload,veenginetype,veenginedisplacement,veenginepower,Buyer,Payment_Method,Price_at_Order,Order_Date
Nissan Micra C+C 1.6 Tekna,Nissan Micra C+C,Nissan,22.335,G,cabriolet,3806,1441,1668,1150,160 g/km,2005,petrol,3,5,4,front,46,6.7,190,390,dohc,1598,81,Christopher Spencer,Bank Transfer,20.95,12/17/2019
Lancia Lybra 2.4 JTD LX,Lancia Lybra,Lancia,34,G,sedan,4466,1462,1743,1345,179 g/km,2002,diesel,4,5,5,front,60,6.7,205,545,dohc,2387,103,Jennifer Medina,Cash,32.52,7/12/2020
Mercedes G 500,Mercedes-Benz G-class,Mercedes,179.961,G,suv/crossover,4672,1951,1867,2495,289 g/km,2015,petrol,5,7,5,front+rear,96,12.3,210,705,dohc,3982,310,Joe Sanders,Credit Card,202.59,11/18/2020
Saab 9-3 Sport Estate 1.9 TTiD 160hp Griffin Norden,Saab 9-3 Sport Estate,Saab,38.7,E,stationwagon,4670,1498,1802,1500,119 g/km,2011,diesel,5,6,5,front,58,4.5,220,620,dohc,1910,118,Sarah Becker,Bank Transfer,40.04,9/30/2021
Mercedes C 180 d,Mercedes-Benz C-class,Mercedes,42.846,D,sedan,4686,1442,1810,1405,109 g/km,2014,diesel,4,7,5,rear,66,4.2,204,670,dohc,1598,85,James Watts,Credit Card,41.87,9/10/2021
Volkswagen Caddy Combi 1.9 TDI 75hp Turijn,Volkswagen Caddy Combi,Volkswagen,20.245,G,mpv,4405,1833,1794,1401,167 g/km,2006,diesel,4,5,5,front,60,6.2,150,723,ohc,1896,55,Matthew Mitchell,Bank Transfer,24.04,2/6/2025
Citroen Saxo 1.1i SX,Citroen Saxo,Citroen,10.82,G,hatchback,3718,1379,1595,780,145 g/km,1999,petrol,3,5,5,front,45,6.1,164,530,ohc,1124,44,Travis Byrd,Cash,11.08,6/13/2025
Volvo S80 D5 AWD Kinetic,Volvo S80,Volvo,56.875,G,sedan,4851,1493,1860,1618,167 g/km,2011,diesel,4,6,5,front+rear,70,6.4,225,652,dohc,2400,158,Robert Campbell,Bank Transfer,51.7,11/24/2018
Opel Astra 1.6i CDX,Opel Astra,Opel,19.49,G,hatchback,4110,1425,1709,1055,173 g/km,1998,petrol,5,5,5,front,52,7.2,170,570,ohc,1598,55,Frank Carter DDS,Bank Transfer,23.32,9/14/2019
Ford Galaxy 2.0 TDCi 140hp Ghia,Ford Galaxy,Ford,44.044,G,mpv,4820,1764,1884,1706,165 g/km,2006,diesel,5,6,5,front,70,6.2,193,799,dohc,1997,103,Tiffany Garcia,Cash,52.72,10/29/2019
Peugeot 308 Allure 1.6 e-HDi,Peugeot 308,Peugeot,26.15,D,hatchback,4253,1457,1804,1135,95 g/km,2013,diesel,5,6,5,front,53,3.7,191,645,ohc,1560,85,Diane Henderson,Credit Card,26.3,6/22/2023
Opel Omega 2.0i GLS,Opel Omega,Opel,25.389,N.A.,sedan,4738,1445,1760,1265,187 g/km,1989,petrol,4,4,5,rear,75,8.8,190,550,ohc,1998,85,Lisa Anderson,Credit Card,25.5,7/15/2023
Hyundai Excel 1.3i LS,Hyundai Excel,Hyundai,12.25,N.A.,hatchback,4103,1394,1620,945,187 g/km,1997,petrol,5,4,5,front,45,6.4,170,495,ohc,1341,62,Olivia James,Bank Transfer,12.7,8/7/2020
Opel Omega Stationwagon 2.2 DTi-16V Business Edition,Opel Omega Stationwagon,Opel,30.295,G,stationwagon,4898,1505,1776,1630,197 g/km,2001,diesel,5,5,5,rear,75,7.3,195,635,ohc,2171,88,Sandra Rodriguez,Credit Card,29.36,6/21/2025
BMW 114i EfficientDynamics Edition,BMW 1-serie,BMW,25.99,C,hatchback,4324,1421,1765,1265,124 g/km,2012,petrol,5,6,5,rear,52,5.3,195,555,dohc,1598,75,Juan Howard,Cash,28.63,10/6/2021
Peugeot 406 Break SV Turbo,Peugeot 406 Break,Peugeot,27.318,N.A.,stationwagon,4725,1404,1765,1436,187 g/km,1996,petrol,5,5,5,front,70,10.1,204,492,ohc,1998,110,Amber Cooper,Credit Card,28.16,6/13/2019
Nissan Sunny 1.4 SLX,Nissan Sunny,Nissan,14.276,N.A.,sedan,4230,1395,1670,990,187 g/km,1991,petrol,4,5,5,front,50,6.6,170,485,dohc,1392,55,Jonathan Hamilton,Credit Card,15.18,10/7/2023
Opel Astra Sports Tourer 2.0 CDTI 165hp Design Edition,Opel Astra Sports Tourer,Opel,30.745,E,stationwagon,4698,1535,1814,1450,124 g/km,2013,diesel,5,6,5,front,56,4.7,212,665,ohc,1956,121,Lynn Wagner,Credit Card,28.23,6/24/2021
Saab 9-3 Cabriolet Senses 2.0 t,Saab 9-3 Cabriolet,Saab,44.01,N.A.,cabriolet,4637,1436,1711,1400,187 g/km,2002,petrol,2,4,4,front,64,10.2,205,460,dohc,1985,110,Alicia Diaz,Bank Transfer,40.87,1/3/2022
Rover 25 1.8 Sterling,Rover 25,Rover,22.29,G,hatchback,3990,1419,1688,1060,196 g/km,2002,petrol,3,4,5,front,50,8.2,185,490,dohc,1796,85,Brian Johnson,Cash,23.24,3/31/2020
Peugeot 308 SW Premiï¿½re 1.2 PureTech 130,Peugeot 308 SW,Peugeot,30.3,B,stationwagon,4585,1471,1804,1175,114 g/km,2014,petrol,5,6,5,front,53,4.9,204,680,dohc,1199,96,Robert Stewart,Cash,31.64,4/6/2019
Seat Leon 1.8 TSI Style,Seat Leon,Seat,24.195,F,hatchback,4315,1458,1768,1255,159 g/km,2009,petrol,5,6,5,front,55,6.8,213,595,dohc,1798,118,Luke Smith,Bank Transfer,21.9,12/26/2020
Fiat 500C TwinAir 65 Easy,Fiat 500C,Fiat,17.445,B,hatchback,3546,1488,1627,880,95 g/km,2012,petrol,2,5,4,front,35,4.1,159,490,ohc,964,48,Ms. Tina Montgomery,Cash,18.25,4/18/2022
Porsche 911 Carrera Targa,Porsche 911 Targa,Porsche,116.65,G,coupe,4430,1305,1770,1345,269 g/km,2001,petrol,2,6,4,rear,64,11.1,285,445,dohc,3596,235,Julia Charles,Bank Transfer,135.05,9/26/2021
Seat Exeo ST 2.0 TSI 200hp BusinessLine,Seat Exeo ST,Seat,33.69,G,stationwagon,4666,1454,1772,1465,179 g/km,2010,petrol,5,7,5,front,70,7.7,235,585,dohc,1984,147,Angela Hunter,Bank Transfer,30.87,5/21/2024
Opel Astra Stationwagon 2.0 DTi-16V Njoy,Opel Astra Stationwagon,Opel,23.46,G,stationwagon,4288,1510,1709,1285,159 g/km,2002,diesel,5,5,5,front,52,5.9,183,575,ohc,1995,74,Kathryn Johnson,Cash,22.44,4/16/2022
Fiat Croma 1.8 16v Dynamic,Fiat Croma,Fiat,28.395,F,hatchback,4783,1597,1775,1405,173 g/km,2008,petrol,5,5,5,front,62,7.4,206,545,dohc,1796,103,Erin Little,Bank Transfer,28.36,6/7/2021
Kia Magentis 2.5 V6,Kia Magentis,Kia,30.895,G,sedan,4720,1410,1815,1400,257 g/km,2001,petrol,4,4,5,front,65,10.9,209,585,dohc,2493,124,Jay Howard,Bank Transfer,32.98,6/1/2022
Mazda 323 1.6i GLX,Mazda 323,Mazda,14.907,N.A.,sedan,4215,1375,1675,975,187 g/km,1991,petrol,4,5,5,front,55,7.5,177,525,ohc,1598,66,Christopher Davis DDS,Bank Transfer,16.26,4/23/2021
Peugeot 406 Break SVE 3.0-24V V6,Peugeot 406 Break,Peugeot,37.46,N.A.,stationwagon,4725,1404,1765,1515,187 g/km,1996,petrol,5,5,5,front,70,11.1,227,445,dohc,2946,143,Tracey Benson,Credit Card,39.45,7/6/2023
Volkswagen Transporter L1H1 30 2.0 TDI 180hp 4Motion Comfortline,Volkswagen Transporter Kombi,Volkswagen,82.644,G,van,4892,1990,1904,1926,226 g/km,2012,diesel,4,7,7,front+rear,80,8.6,188,1074,dohc,1968,132,Gregory Young,Credit Card,90.69,2/10/2021
Ford Escort Clipper 1.8 D Turbo Laser,Ford Escort Clipper,Ford,17.693,N.A.,stationwagon,4268,1352,1685,1175,187 g/km,1994,diesel,5,5,5,front,55,6.3,172,525,ohc,1753,66,Jeremy Miller,Credit Card,18.83,12/19/2024
Mitsubishi Carisma 1.8 GLXi,Mitsubishi Carisma,Mitsubishi,20.642,N.A.,hatchback,4435,1405,1695,1135,187 g/km,1995,petrol,5,4,5,front,60,7.5,200,555,ohc,1834,85,Ryan Williams,Bank Transfer,23.95,11/11/2024
Toyota Previa 2.4 16v VVT-i Linea Luna,Toyota Previa,Toyota,34.39,G,mpv,4750,1770,1790,1500,228 g/km,2000,petrol,5,5,5,front,75,9.5,185,740,dohc,2362,115,James Brooks,Credit Card,37.59,2/17/2022
PGO Speedster 2 Vintage,PGO Speedster 2,PGO,45.423,N.A.,cabriolet,3846,1200,1675,930,187 g/km,2005,petrol,2,5,4,rear,40,8.7,215,802,dohc,1997,100,Dustin Perez,Credit Card,43,10/8/2023
BMW 518d,BMW 5-serie,BMW,49.227,C,sedan,4907,1464,1860,1600,119 g/km,2013,diesel,4,8,5,rear,70,4.5,212,635,dohc,1995,105,Shannon Cole,Credit Card,57.85,1/17/2023
Audi A3 Cabriolet 1.4 TFSI COD 140hp Ambition Pro Line,Audi A3 Cabriolet,Audi,42.17,B,cabriolet,4421,1409,1793,1355,114 g/km,2014,petrol,2,7,5,front,50,4.9,218,525,dohc,1395,103,Karen Anderson,Credit Card,42.74,9/17/2023
Nissan Primera 2.0 Business Tekna Pack,Nissan Primera,Nissan,29.251,G,hatchback,4567,1482,1760,1314,208 g/km,2006,petrol,5,6,5,front,62,8.7,200,596,dohc,1998,103,Annette Liu,Bank Transfer,31.92,3/7/2023
Nissan Almera 1.5 Invitation,Nissan Almera,Nissan,18.495,G,sedan,4436,1445,1695,1164,158 g/km,2006,petrol,4,5,5,front,60,6.6,177,526,dohc,1497,72,Patricia Freeman,Bank Transfer,19.17,10/14/2020
Nissan X-Trail 2.2 dCi 2WD Sport,Nissan X-Trail,Nissan,33.695,G,suv/crossover,4510,1750,1765,1490,180 g/km,2005,diesel,5,6,5,front,60,7.1,180,560,dohc,2184,100,Ariel Foster,Cash,37.37,8/3/2023
Renault Megane 1.5 dCi 100 Privilege Luxe,Renault Megane,Renault,27.895,G,hatchback,4209,1457,1777,1150,119 g/km,2003,diesel,3,5,5,front,60,4.5,179,575,ohc,1461,74,Kelli Jackson,Cash,25.82,4/20/2025
Fiat Croma 1.9 Multijet 16v 150 Corporate,Fiat Croma,Fiat,35.595,G,hatchback,4783,1597,1775,1505,161 g/km,2008,diesel,5,6,5,front,62,6.1,210,545,dohc,1910,110,Julia Lopez,Bank Transfer,37.83,10/14/2023
Honda Civic 1.8 Executive,Honda Civic,Honda,39.76,E,hatchback,4370,1470,1770,1197,150 g/km,2015,petrol,5,5,5,front,50,6.4,210,593,ohc,1798,104,Jeffery Roberts,Credit Card,36,5/6/2019
Peugeot 206 XR 1.4 HDI,Peugeot 206,Peugeot,16.85,F,hatchback,3822,1428,1652,961,113 g/km,2002,diesel,5,5,5,front,50,4.3,168,564,ohc,1398,50,Michelle Miller,Bank Transfer,17.91,11/3/2019
BMW 116i EfficientDynamics Edition Business,BMW 1-serie,BMW,28.985,C,hatchback,4324,1421,1765,1260,124 g/km,2012,petrol,3,6,5,rear,52,5.3,210,555,dohc,1598,100,Katelyn Barnes,Credit Card,33.68,11/9/2021
Ford Focus 1.0 EcoBoost 100hp ECOnetic Edition Plus,Ford Focus,Ford,21.895,A,hatchback,4358,1484,1823,1176,109 g/km,2014,petrol,5,5,5,front,55,4.8,185,724,dohc,995,74,Theresa Farmer,Credit Card,20.14,5/29/2020
BMW 320i Cabrio Executive,BMW 3-serie Cabrio,BMW,50.029,G,cabriolet,4433,1348,1710,1445,245 g/km,1995,petrol,2,5,4,rear,65,10.3,207,400,dohc,1991,110,Aaron Smith,Bank Transfer,49.73,6/21/2021
Volkswagen Passat 2.5 TDI 150hp 4Motion Sportline,Volkswagen Passat,Volkswagen,46.26,G,sedan,4703,1462,1746,1614,232 g/km,2001,diesel,4,5,5,front+rear,62,8.6,212,576,dohc,2496,110,Catherine Sandoval,Credit Card,46.14,2/13/2020
Alfa Romeo 159 Sportwagon 2.4 JTDm 20v Distinctive,Alfa Romeo 159 Sportwagon,Alfa Romeo,44.05,G,stationwagon,4661,1422,1830,1610,181 g/km,2009,diesel,5,6,5,front,70,6.9,229,575,dohc,2387,154,Alison Anderson,Cash,49.66,11/10/2021
Nissan Primera 1.8 Visia,Nissan Primera,Nissan,25.145,G,sedan,4567,1482,1760,1289,192 g/km,2004,petrol,4,4,5,front,62,8,182,556,dohc,1769,85,Timothy Miller,Cash,29.14,7/7/2025
Renault Talisman TCe 150 Zen,Renault Talisman,Renault,32.59,A,sedan,4848,1463,1869,1405,127 g/km,2016,petrol,4,7,5,front,51,5.6,215,625,dohc,1618,110,Ashley Richmond,Credit Card,33.06,6/11/2022
Mazda 6 SportBreak SkyActiv-G 2.5 194 Luxury,Mazda 6 SportBreak,Mazda,48.25,D,stationwagon,4800,1480,1840,1441,156 g/km,2018,petrol,5,6,5,front,62,6.8,223,672,dohc,2488,0,Michael Walsh,Bank Transfer,56.43,12/13/2022
Renault Laguna Grand Tour 1.9 dCi 120hp Privilege,Renault Laguna Grand Tour,Renault,34.595,G,stationwagon,4698,1443,1749,1395,149 g/km,2001,diesel,5,6,5,front,70,5.6,197,540,ohc,1870,88,Christopher Hudson,Cash,38.22,9/30/2021
Fiat Punto 1.2 Classic Lusso,Fiat Punto,Fiat,12.45,F,hatchback,3865,1480,1660,850,136 g/km,2006,petrol,5,5,5,front,47,5.7,155,535,ohc,1242,44,Eric Dixon,Bank Transfer,14.7,7/10/2020
Dodge Avenger 2.4 SE,Dodge Avenger,Dodge,29.4,G,sedan,4850,1497,1843,1510,211 g/km,2007,petrol,4,4,5,front,64,8.9,200,530,dohc,2360,125,Dawn Anderson,Bank Transfer,27.38,6/17/2024
Volvo V40 Cross Country T4,Volvo V40 Cross Country,Volvo,33.995,D,hatchback,4370,1470,1802,1314,143 g/km,2013,petrol,5,6,5,front,62,6.1,210,626,dohc,1596,132,Alisha Jordan,Bank Transfer,40,12/27/2021
Audi A3 Cabriolet 1.6 TDI 110hp Ambiente Pro Line +,Audi A3 Cabriolet,Audi,42.94,D,cabriolet,4421,1409,1793,1395,104 g/km,2014,diesel,2,6,5,front,50,3.9,200,525,dohc,1598,81,Matthew Henry,Cash,41.68,2/9/2023
Volvo S60 D3 Polar,Volvo S60,Volvo,35.915,B,sedan,4628,1484,1865,1426,102 g/km,2017,diesel,4,6,5,front,68,3.9,215,664,dohc,1969,110,Heather Garza,Credit Card,42.75,8/26/2025
Opel Ascona 2.0i GT,Opel Ascona,Opel,15.825,N.A.,sedan,4366,1395,1668,990,187 g/km,1986,petrol,4,5,5,front,61,7.9,187,555,ohc,1998,85,Robert Brown,Cash,16.87,4/4/2019
Mercedes B 200 Turbo,Mercedes-Benz B-class,Mercedes,37.15,G,mpv,4270,1604,1777,1270,190 g/km,2008,petrol,5,6,5,front,54,7.9,225,610,ohc,2034,142,Emily Yang,Bank Transfer,40.38,6/19/2020
Audi 80 Avant 2.6 E,Audi 80 Avant,Audi,29.4,N.A.,stationwagon,4482,1408,1695,1349,187 g/km,1992,petrol,5,5,5,front,66,9.4,207,571,ohc,2598,110,Michael Lee,Cash,28.58,6/26/2022
Renault Laguna Break RXT 3.0 V6-24V,Renault Laguna Break,Renault,32.967,N.A.,stationwagon,4628,1470,1752,1455,187 g/km,1999,petrol,5,5,5,front,66,11.2,225,695,dohc,2946,143,Linda Valentine,Bank Transfer,35.3,12/7/2024
Renault Megane TCe 130 Bose,Renault Megane,Renault,26.59,E,hatchback,4295,1471,1808,1180,145 g/km,2012,petrol,5,6,5,front,60,6.3,200,601,dohc,1397,96,David Preston,Credit Card,29.09,3/12/2020
Mini Countryman One Pepper,Mini Countryman,Mini,26.72,E,suv/crossover,4097,1561,1789,1240,139 g/km,2010,petrol,5,6,5,front,47,6,173,495,dohc,1598,72,Jeremiah White,Cash,27.88,1/23/2021
Volvo V70 2.4 170hp,Volvo V70,Volvo,43.59,G,stationwagon,4720,1488,1804,1498,234 g/km,2004,petrol,5,5,5,front,70,9.8,215,632,dohc,2435,125,Joseph Wilson,Credit Card,41.67,12/25/2023
Tesla Model S 70,Tesla Model S,Tesla,84.1,A,hatchback,4970,1445,1964,2100,0 g/km,2016,petrol,5,2,5,rear,55,5.5,225,802,ohc,1753,235,Ronnie Kerr,Cash,95.65,4/8/2021
Volkswagen Sharan 2.8 V6 Comfortline,Volkswagen Sharan,Volkswagen,45.15,G,mpv,4634,1730,1810,1594,252 g/km,2000,petrol,5,6,5,front,70,10.5,217,876,dohc,2792,150,Francisco Calderon,Credit Card,41.25,6/24/2024
Seat Cordoba 1.4 16V 75hp Reference,Seat Cordoba,Seat,17.195,G,sedan,4280,1441,1698,1082,180 g/km,2006,petrol,4,4,5,front,45,7.5,172,541,dohc,1390,55,Alexandra Greene,Cash,20.16,10/8/2020
Skoda Octavia Combi 1.0 TSI 115hp Greentech Sport Business,Skoda Octavia Combi,Skoda,26.955,B,stationwagon,4667,1461,1814,1147,114 g/km,2019,petrol,5,6,5,front,50,4.8,201,670,ohc,999,0,Joe Hahn,Cash,27.7,10/29/2023
Ford Focus 1.8 TDCi 115hp Trend,Ford Focus,Ford,21.325,G,hatchback,4152,1430,1702,800,145 g/km,2001,diesel,3,5,5,front,55,5.5,193,802,ohc,1753,85,Gina Ayers,Bank Transfer,24.78,1/31/2025
Opel Astra 1.6 Turbo Edition,Opel Astra,Opel,29.845,E,hatchback,4419,1510,1814,1370,159 g/km,2015,petrol,5,6,5,front,56,6.8,212,670,dohc,1598,125,Claudia Pittman,Cash,32.45,2/1/2022
Daihatsu Materia 1.5 Groove,Daihatsu Materia,Daihatsu,20.649,G,mpv,3800,1635,1690,1025,176 g/km,2010,petrol,5,4,5,front,40,7.3,164,575,dohc,1495,76,Jason Clark,Bank Transfer,20.32,1/10/2022
Seat Leon ST 2.0 TDI 184hp FR Connect,Seat Leon ST,Seat,36.6,F,stationwagon,4535,1436,1816,1335,125 g/km,2015,diesel,5,6,5,front,50,4.8,226,655,dohc,1968,135,Ronald Sheppard,Bank Transfer,40.19,7/28/2023
Volvo 850 2.5i T 20V Exclusive-Line,Volvo 850,Volvo,36.098,N.A.,sedan,4670,1410,1760,1382,187 g/km,1996,petrol,4,5,5,front,73,10.8,225,528,dohc,2435,142,Lauren Carter,Credit Card,41.87,8/15/2022
Audi A6 2.0 TFSI quattro,Audi A6,Audi,59.97,C,sedan,4933,1455,1874,1635,153 g/km,2015,petrol,4,7,5,front+rear,65,6.7,250,635,dohc,1984,185,Richard Mayer,Bank Transfer,66.85,11/2/2019
Opel Omega 2.5i-V6,Opel Omega,Opel,33.013,G,sedan,4898,1455,1776,1600,251 g/km,1999,petrol,4,5,5,rear,75,10.4,228,570,dohc,2498,125,Tiffany Long,Credit Card,30.8,2/28/2019
Lancia Delta 1.6 16v LS,Lancia Delta,Lancia,16.087,G,hatchback,4011,1430,1703,1130,201 g/km,1998,petrol,5,5,5,front,51,8.4,186,540,dohc,1581,76,Keith Campbell,Credit Card,19.13,11/5/2019
Jeep Grand Cherokee 5.7 HEMI V8 Limited,Jeep Grand Cherokee,Jeep,77.9,G,suv/crossover,4750,1740,1870,2150,366 g/km,2005,petrol,5,5,5,front+rear,78,15.4,208,600,ohc,5654,240,Pamela Adams,Cash,86.13,1/19/2025
Mercedes E 500 Elegance,Mercedes-Benz E-class,Mercedes,95.128,G,sedan,4818,1430,1822,1685,273 g/km,2006,petrol,4,7,5,rear,80,11.5,250,625,dohc,5461,285,Kelly Simon,Credit Card,106.15,7/21/2020
Ford Focus Wagon 1.0 EcoBoost 125hp Trend,Ford Focus Wagon,Ford,25.345,B,stationwagon,4560,1505,1823,1245,125 g/km,2015,petrol,5,6,5,front,55,5.5,185,655,dohc,995,92,Pamela Thompson,Bank Transfer,26.39,9/25/2023
Volvo C30 2.0 Business Pro Edition,Volvo C30,Volvo,31.115,G,coupe,4266,1443,1782,1229,177 g/km,2012,petrol,3,5,4,front,55,7.6,210,521,dohc,1999,107,Brittany Blair,Credit Card,34.56,7/6/2020
Mercedes C 280 Sport,Mercedes-Benz C-class,Mercedes,48.721,G,sedan,4487,1424,1720,1355,238 g/km,1997,petrol,4,5,5,rear,62,10,228,555,ohc,2799,145,Edward Myers,Cash,54.7,2/20/2020
Audi A3 Sportback 1.4 TFSI Ambition Advance,Audi A3 Sportback,Audi,33.315,D,hatchback,4292,1423,1765,1310,127 g/km,2012,petrol,5,7,5,front,55,5.5,203,560,dohc,1390,92,Victoria Carey,Credit Card,33.55,2/19/2025
Renault Clio 1.6 16V Dynamique Comfort,Renault Clio,Renault,15.495,G,hatchback,3812,1417,1639,975,170 g/km,2003,petrol,3,5,5,front,50,7.2,193,565,ohc,1598,79,Nicole Hernandez,Cash,17.08,5/4/2025
Audi 100 CD 2.0 E,Audi 100,Audi,28.638,N.A.,sedan,4793,1421,1814,1230,187 g/km,1986,petrol,4,5,5,front,80,8.9,190,570,ohc,1994,85,Richard Stewart,Bank Transfer,29.85,5/13/2023
Fiat Stilo 1.6 16v Racing,Fiat Stilo,Fiat,20.195,G,hatchback,4182,1475,1784,1125,173 g/km,2005,petrol,3,5,5,front,58,7.3,185,535,dohc,1596,76,Matthew Robinson,Cash,19,4/24/2019
Citroen BX 16 TRS,Citroen BX,Citroen,15.919,N.A.,hatchback,4240,1360,1680,930,187 g/km,1986,petrol,5,4,5,front,52,7.4,170,520,ohc,1580,69,Lisa Meyers,Bank Transfer,15.39,11/28/2023
Citroen Xantia 2.0i SX,Citroen Xantia,Citroen,21.927,N.A.,hatchback,4444,1380,1755,1310,187 g/km,1993,petrol,5,4,5,front,70,9.8,195,470,ohc,1998,90,Shelley Nelson,Cash,21.12,7/9/2020
BMW 520i touring Executive,BMW 5-serie touring,BMW,49.3,G,stationwagon,4805,1445,1800,1595,228 g/km,2000,petrol,5,5,5,rear,70,9.5,223,600,dohc,2171,125,Molly Ross,Bank Transfer,49.11,11/5/2024
Opel Vectra 2.0i-16V Sport,Opel Vectra,Opel,25.074,N.A.,sedan,4477,1428,1707,1282,187 g/km,1998,petrol,4,4,5,front,60,9.6,212,553,dohc,1998,100,Dawn Johnston,Bank Transfer,24.84,5/5/2020
Honda Civic 1.6 ESi,Honda Civic,Honda,18.011,N.A.,sedan,4405,1375,1695,1015,187 g/km,1991,petrol,4,5,5,front,45,7.3,195,485,dohc,1590,92,Sarah Flynn,Credit Card,18.83,9/13/2023
Audi A3 1.6 TDI 110hp Attraction,Audi A3,Audi,29.21,D,hatchback,4237,1421,1777,1205,99 g/km,2014,diesel,3,6,5,front,50,3.8,200,585,dohc,1598,81,Daniel Simpson,Cash,26.99,6/15/2020
Opel Corsa 1.4i GLS,Opel Corsa,Opel,13.545,N.A.,hatchback,3729,1420,1608,905,187 g/km,1996,petrol,3,4,5,front,46,8.5,145,485,ohc,1389,44,James Savage,Credit Card,13.01,8/13/2021
Skoda Kodiaq 1.5 TSI Greentech ACT Business Edition,Skoda Kodiaq,Skoda,38.03,C,suv/crossover,4697,1655,1882,1507,139 g/km,2019,petrol,5,7,7,front,58,6.1,198,700,dohc,1498,0,Joseph Brock,Credit Card,34.85,9/18/2020
Citroen C4 Picasso 1.6 HDiF 110 Ligne Business,Citroen C4 Picasso,Citroen,29.99,G,mpv,4470,1680,1829,1464,140 g/km,2007,diesel,5,5,5,front,60,5.3,180,586,dohc,1560,80,Brandon Dixon,Credit Card,31.06,2/10/2019
Mercedes C 350 Avantgarde,Mercedes-Benz C-class,Mercedes,54.2,E,sedan,4591,1447,1770,1510,159 g/km,2011,petrol,4,7,5,rear,66,6.8,250,615,dohc,3498,225,Adam Parker,Credit Card,59.08,12/4/2019
BMW Z3 roadster 1.9i,BMW Z3 roadster,BMW,36.212,G,cabriolet,4025,1288,1692,1160,189 g/km,1996,petrol,2,5,2,rear,51,8,205,275,dohc,1895,103,Carly Snyder,Credit Card,36.87,7/6/2020
Jaguar XF Sportbrake 30t AWD Portfolio,Jaguar XF Sportbrake,Jaguar,87.735,E,stationwagon,4954,1496,1880,1838,173 g/km,2018,petrol,5,8,5,front+rear,74,7.6,250,562,dohc,1997,0,Trevor Miller,Cash,82.45,6/7/2021
Ford Mondeo Wagon 2.0 TDCi 150hp ST Line,Ford Mondeo Wagon,Ford,38.475,B,stationwagon,4867,1501,1852,1497,109 g/km,2017,diesel,5,6,5,front,63,4.2,210,833,dohc,1997,110,Kathleen Humphrey,Bank Transfer,42.07,3/30/2022
