Buyer,Order_Date,Age,Gender,Income,loyalty_score,Location,PreviousCarOwnership,Purpose_of_Buying,Preference,Index
Gina Ayers,1/31/2025,42,Female,8038,6,Central,4,Personal,hatchback,B_0080
Claudia Pittman,2/1/2022,34,Male,4357,2,Central,4,Business,hatchback,B_0081
Jason Clark,1/10/2022,61,Female,1375,2,North,2,Personal,mpv,B_0082
Ronald Sheppard,7/28/2023,42,Male,1863,5,South,1,Personal,stationwagon,B_0083
Lauren Carter,8/15/2022,32,Male,3181,5,North,3,Personal,sedan,B_0084
Richard Mayer,11/2/2019,28,Female,7886,6,South,5,Family,sedan,B_0085
Tiffany Long,2/28/2019,50,Female,9466,5,Central,2,Personal,sedan,B_0086
Keith Campbell,11/5/2019,38,Female,3594,1,Central,2,Family,hatchback,B_0087
Pamela Adams,1/19/2025,52,Female,5313,7,Central,3,Service,suv/crossover,B_0088
Kelly Simon,7/21/2020,35,Female,1962,1,South,2,Business,sedan,B_0089
Pamela Thompson,9/25/2023,59,Female,8759,6,Central,1,Service,stationwagon,B_0090
Brittany Blair,7/6/2020,27,Female,551,6,South,1,Personal,coupe,B_0091
Edward Myers,2/20/2020,36,Male,3656,4,North,3,Business,sedan,B_0092
Victoria Carey,2/19/2025,48,Female,7641,4,North,2,Family,hatchback,B_0093
Nicole Hernandez,5/4/2025,64,Male,3254,4,North,2,Family,hatchback,B_0094
Richard Stewart,5/13/2023,37,Female,1015,9,Central,1,Personal,sedan,B_0095
Matthew Robinson,4/24/2019,33,Male,8248,6,North,2,Business,hatchback,B_0096
Lisa Meyers,11/28/2023,60,Female,1690,4,Central,1,Family,hatchback,B_0097
Shelley Nelson,7/9/2020,41,Female,5202,8,North,4,Personal,hatchback,B_0098
Molly Ross,11/5/2024,53,Male,7792,6,Central,5,Personal,stationwagon,B_0099
Dawn Johnston,5/5/2020,63,Female,3671,3,North,2,Family,sedan,B_0100
Sarah Flynn,9/13/2023,42,Female,6637,5,North,2,Service,sedan,B_0101
Daniel Simpson,6/15/2020,34,Male,5272,9,North,3,Business,hatchback,B_0102
James Savage,8/13/2021,53,Male,8590,8,South,2,Personal,hatchback,B_0103
Joseph Brock,9/18/2020,34,Female,2435,1,South,0,Personal,suv/crossover,B_0104
Brandon Dixon,2/10/2019,52,Female,6923,5,North,3,Business,mpv,B_0105
Adam Parker,12/4/2019,31,Female,6416,8,Central,3,Service,sedan,B_0106
Carly Snyder,7/6/2020,36,Female,1397,3,North,2,Family,cabriolet,B_0107
Trevor Miller,6/7/2021,33,Male,9829,1,North,4,Family,stationwagon,B_0108
Kathleen Humphrey,3/30/2022,32,Male,7061,2,South,3,Family,stationwagon,B_0109
Misty Anderson,11/25/2022,48,Male,3876,1,Central,3,Family,sedan,B_0110
Rebecca Bryant,10/29/2022,39,Male,6199,1,Central,2,Business,hatchback,B_0111
Bob Jacobson,11/3/2020,20,Male,5151,6,Central,1,Family,sedan,B_0112
Christina Cooper,8/15/2020,26,Male,8573,7,North,3,Family,stationwagon,B_0113
Matthew Harrison,6/23/2025,48,Male,8879,9,North,3,Service,sedan,B_0114
Rachel Church,5/29/2024,50,Male,1172,1,North,0,Family,sedan,B_0115
Thomas Lang,8/5/2020,56,Female,2773,8,South,2,Personal,hatchback,B_0116
Alexander Duran,1/23/2020,55,Male,2315,3,North,1,Personal,sedan,B_0117
Maria Vazquez,5/31/2020,37,Male,2861,3,Central,1,Business,sedan,B_0118
Eric Gray,4/4/2023,36,Male,5420,1,North,3,Service,hatchback,B_0119
Matthew Ball,3/28/2020,64,Female,7401,9,Central,3,Business,hatchback,B_0120
Colleen Heath,12/9/2019,34,Male,7805,9,South,3,Business,stationwagon,B_0121
Cesar Flores,2/27/2025,39,Female,6126,10,Central,3,Family,sedan,B_0122
Julia Taylor,2/11/2025,47,Male,5285,4,South,3,Service,coupe,B_0123
Fred Myers,10/16/2023,22,Male,9565,8,Central,4,Service,hatchback,B_0124
Nicole Brown,6/19/2021,56,Male,6572,5,North,1,Family,mpv,B_0125
Angela Reyes,9/3/2022,45,Male,9140,10,Central,4,Personal,sedan,B_0126
David Dean,5/14/2021,55,Male,6676,10,South,4,Family,stationwagon,B_0127
Laura Sanders,4/12/2025,36,Male,7836,9,Central,4,Family,mpv,B_0128
Joshua King,8/26/2020,22,Female,1052,10,North,1,Family,hatchback,B_0129
Joseph Jackson,7/22/2019,43,Female,9520,6,Central,3,Family,suv/crossover,B_0130
Jose Patrick,1/31/2021,26,Male,4514,1,North,3,Family,hatchback,B_0131
Patrick Stout,5/22/2020,40,Female,4526,2,South,3,Personal,hatchback,B_0132
Jonathan Russo,8/2/2021,49,Female,1773,3,Central,1,Business,hatchback,B_0133
Deborah Williams,12/9/2019,47,Female,5043,6,Central,2,Personal,mpv,B_0134
Angela Thomas,12/5/2024,53,Male,3617,7,South,2,Service,hatchback,B_0135
Christopher Ibarra,1/10/2019,39,Male,2982,9,North,1,Family,hatchback,B_0136
Melinda Burton,3/11/2025,47,Male,3476,3,Central,4,Family,sedan,B_0137
Denise Gray,2/9/2022,27,Female,5396,2,South,4,Business,stationwagon,B_0138
Kenneth Henson,9/9/2025,22,Female,6751,8,North,3,Business,stationwagon,B_0139
Brian Wagner,8/6/2020,60,Male,3983,7,South,3,Business,stationwagon,B_0140
Dylan Johnson,10/6/2020,59,Male,5622,5,Central,3,Service,hatchback,B_0141
Eric Perry,8/9/2024,44,Male,4524,1,Central,2,Personal,sedan,B_0142
Valerie Meyers,2/19/2021,34,Female,646,6,South,0,Family,hatchback,B_0143
Sandra Garcia,4/2/2022,42,Male,7879,9,Central,3,Family,hatchback,B_0144
Dr. Melanie Chandler,6/12/2021,50,Male,8981,6,South,2,Personal,suv/crossover,B_0145
Michelle Walker,8/20/2023,22,Male,9867,3,North,3,Personal,stationwagon,B_0146
Michael Montoya,5/15/2019,23,Male,5090,6,South,5,Family,hatchback,B_0147
Ricky Lucas,10/25/2023,37,Male,7272,10,South,4,Service,stationwagon,B_0148
Patrick Garcia,2/21/2023,23,Male,3944,4,South,3,Family,stationwagon,B_0149
Bradley Flores,5/1/2020,64,Male,9931,3,North,1,Family,suv/crossover,B_0150
Rhonda Stevenson,3/27/2021,42,Male,764,9,North,1,Personal,hatchback,B_0151
Paula Smith,9/12/2023,41,Female,3007,4,North,1,Family,stationwagon,B_0152
Anita Valenzuela,12/20/2021,20,Male,8622,9,Central,3,Service,coupe,B_0153
Dominic Smith,1/26/2024,46,Female,9643,9,North,2,Family,sedan,B_0154
Gabriela Powell,11/15/2023,60,Female,3485,4,South,3,Personal,mpv,B_0155
William Levy,7/30/2020,56,Male,4735,2,South,2,Family,cabriolet,B_0156
Jake Davidson,7/11/2020,23,Male,4747,6,Central,2,Business,stationwagon,B_0157
Lauren Washington,6/4/2020,35,Male,6306,3,Central,2,Personal,sedan,B_0158
Andrew Taylor,10/31/2018,20,Female,6705,6,South,2,Family,mpv,B_0159
Christina Lyons,8/14/2024,43,Male,7656,8,South,2,Family,hatchback,B_0160
Victor Hawkins,1/8/2025,38,Male,9628,3,North,3,Service,suv/crossover,B_0161
Emma Anderson,10/28/2021,26,Male,6189,6,Central,3,Family,stationwagon,B_0162
Carl Castro,10/30/2019,25,Male,6996,10,South,4,Service,stationwagon,B_0163
Judith Mathis,3/23/2022,50,Female,3584,5,Central,3,Personal,stationwagon,B_0164
Jennifer Lopez,12/24/2018,41,Male,7996,7,Central,3,Family,hatchback,B_0165
Sharon Turner,6/12/2022,24,Female,3296,1,North,2,Personal,hatchback,B_0166
Aaron Leonard,3/13/2020,64,Male,5457,1,Central,3,Service,coupe,B_0167
Brian Stafford,4/21/2023,48,Female,9953,7,Central,3,Business,stationwagon,B_0168
Nancy Morgan,7/22/2024,20,Male,8514,10,North,1,Family,stationwagon,B_0169
Teresa Clarke,2/28/2023,33,Male,3520,7,South,3,Personal,stationwagon,B_0170
Tiffany Dyer,12/11/2019,51,Male,3798,4,South,5,Family,stationwagon,B_0171
Christopher Beck,8/22/2023,29,Male,9636,6,North,2,Business,sedan,B_0172
Joseph Solis,8/31/2024,38,Female,5910,9,North,3,Business,mpv,B_0173
Jason Rodriguez,6/9/2023,32,Male,2836,8,South,0,Family,coupe,B_0174
Pamela King,8/18/2023,35,Male,633,3,North,0,Family,hatchback,B_0175
Shane Martin,10/21/2024,62,Female,5614,9,North,1,Family,hatchback,B_0176
Michael Martin,3/30/2022,21,Female,4348,6,South,3,Business,sedan,B_0177
Steven Kim,2/10/2021,47,Female,1942,9,Central,1,Business,sedan,B_0178
Dr. Mark Choi,2/18/2020,62,Male,8075,6,South,4,Family,stationwagon,B_0179
Stephen Jones,12/4/2019,61,Female,6072,6,Central,5,Business,stationwagon,B_0180
Brenda Berger,10/9/2020,39,Female,6296,2,Central,2,Personal,hatchback,B_0181
James Chavez,12/31/2018,23,Male,1064,4,South,1,Family,hatchback,B_0182
Matthew Jones,10/3/2019,52,Male,1874,2,South,2,Personal,sedan,B_0183
Matthew Mckay,5/10/2021,33,Male,4992,5,North,4,Service,mpv,B_0184
Alexander Jones,1/20/2023,22,Female,1657,3,South,0,Personal,hatchback,B_0185
Sarah Hawkins,3/29/2025,46,Female,7209,9,South,2,Business,sedan,B_0186
Chad Contreras,11/6/2020,41,Male,1138,2,Central,2,Family,stationwagon,B_0187
Steven Henderson,4/6/2021,60,Female,9806,8,North,3,Family,sedan,B_0188
Brett Brown,8/11/2019,46,Female,8998,9,South,3,Business,stationwagon,B_0189
James Wells,8/27/2025,33,Male,6434,3,North,3,Business,suv/crossover,B_0190
Matthew Collins,1/12/2019,40,Female,6271,5,North,4,Business,mpv,B_0191
John Phillips,7/14/2021,27,Female,3458,8,North,2,Personal,mpv,B_0192
Kelli Chavez DVM,12/2/2023,26,Male,1205,6,Central,2,Personal,sedan,B_0193
Claire Campbell,6/27/2025,44,Male,6402,8,North,4,Personal,stationwagon,B_0194
Ronald Taylor,9/18/2020,28,Male,1391,1,North,0,Personal,stationwagon,B_0195
Teresa Green,7/22/2024,52,Female,3490,5,North,2,Business,cabriolet,B_0196
Shawn Moore,8/26/2025,63,Male,794,9,Central,0,Personal,hatchback,B_0197
Michael Jones,12/19/2023,46,Male,1405,8,South,2,Family,suv/crossover,B_0198
Rodney Burke,4/24/2022,64,Female,5914,1,South,3,Family,hatchback,B_0199
Christopher Myers,4/8/2021,23,Male,8693,9,North,2,Service,hatchback,B_0200
Pamela Perez,11/25/2024,65,Female,2830,3,South,1,Family,stationwagon,B_0201
Morgan Hall,4/24/2024,31,Female,9592,7,South,4,Family,stationwagon,B_0202
Martin Carson,10/18/2022,52,Female,6524,6,South,3,Family,hatchback,B_0203
Lisa Robinson,9/6/2019,34,Male,2587,7,South,1,Family,stationwagon,B_0204
Julia Clark,2/25/2021,38,Female,3982,5,South,4,Business,stationwagon,B_0205
Daryl Obrien,5/6/2023,59,Male,1630,9,North,2,Family,hatchback,B_0206
Shannon Gregory,8/27/2024,53,Male,9505,3,Central,4,Personal,suv/crossover,B_0207
Alex Patel,3/30/2022,31,Female,1858,7,Central,1,Family,sedan,B_0208
Richard White,3/30/2020,30,Female,3000,4,Central,1,Family,sedan,B_0209
Eric Brown,1/6/2019,41,Male,3930,4,North,1,Family,mpv,B_0210
Melanie Henderson,8/15/2023,65,Female,8545,10,South,3,Personal,sedan,B_0211
Emily Harding,8/23/2025,28,Male,1457,2,North,3,Family,mpv,B_0212
Kristi Watson,7/27/2020,35,Female,2177,6,North,3,Business,suv/crossover,B_0213
Matthew Davis,9/29/2020,48,Female,9175,5,Central,4,Business,mpv,B_0214
Beth George,6/14/2021,34,Female,9107,7,Central,5,Family,mpv,B_0215
Amy Collins,11/23/2018,37,Female,1839,1,South,0,Family,hatchback,B_0216
Aaron Charles,9/29/2021,32,Female,2946,4,North,3,Family,suv/crossover,B_0217
Kurt Solomon,4/30/2020,23,Female,5678,8,North,3,Business,cabriolet,B_0218
Brandon Hood,11/25/2022,56,Female,3946,9,North,2,Business,hatchback,B_0219
Andrew Bauer,4/19/2023,24,Female,1135,5,South,1,Personal,hatchback,B_0220
Susan Young,2/17/2023,60,Female,7740,7,Central,2,Personal,hatchback,B_0221
William Jones,4/19/2020,26,Female,5864,5,North,4,Family,sedan,B_0222
Anthony Shelton,12/28/2023,24,Female,9290,10,South,4,Family,stationwagon,B_0223
Shawn Smith PhD,4/24/2024,27,Male,6624,10,North,2,Family,hatchback,B_0224
Jill Dawson,1/21/2019,60,Male,4051,7,North,2,Business,hatchback,B_0225
Joshua Owens,1/27/2025,62,Female,4290,1,North,1,Service,hatchback,B_0226
Austin Hall,12/15/2022,57,Male,8160,9,North,2,Business,coupe,B_0227
Roy Camacho,12/2/2018,62,Female,5651,5,Central,1,Family,hatchback,B_0228
Sarah Jennings,4/6/2023,58,Female,2923,1,South,1,Personal,stationwagon,B_0229
Dawn Johnson,1/31/2022,32,Male,1500,5,South,1,Personal,hatchback,B_0230
Sean Williams,6/18/2021,30,Female,1820,7,South,2,Business,hatchback,B_0231
Joshua Santana,6/30/2021,52,Male,1355,5,North,3,Personal,hatchback,B_0232
Angela Becker,11/24/2018,59,Male,6463,1,Central,2,Service,stationwagon,B_0233
Kevin Booker,11/22/2020,48,Male,7459,1,North,4,Family,hatchback,B_0234
Jennifer Thompson,4/20/2020,62,Female,659,1,North,0,Family,stationwagon,B_0235
Kelly Martin,1/27/2025,24,Female,1183,8,North,2,Family,sedan,B_0236
Bobby Bonilla,2/15/2023,50,Female,3599,6,North,3,Personal,stationwagon,B_0237
Linda Bishop,5/27/2019,45,Female,6005,4,North,4,Personal,sedan,B_0238
Charles Velasquez,4/25/2023,40,Female,7778,8,North,4,Personal,hatchback,B_0239
Amanda Davis,1/28/2021,50,Female,5489,3,Central,5,Business,sedan,B_0240
Jennifer Carson,1/20/2025,30,Female,5852,4,South,3,Service,sedan,B_0241
Joe Matthews,4/9/2021,30,Male,8199,2,South,2,Service,sedan,B_0242
Teresa West,5/23/2019,23,Male,1782,6,South,0,Business,hatchback,B_0243
Nicole Edwards,1/18/2020,33,Male,6905,7,South,3,Personal,sedan,B_0244
John Hernandez,8/25/2019,57,Female,8781,2,North,2,Personal,hatchback,B_0245
Kelly Williams,11/26/2023,36,Male,9193,10,Central,1,Service,cabriolet,B_0246
Mrs. Caitlin Murphy,5/18/2019,41,Male,4766,1,Central,1,Business,hatchback,B_0247
Keith Espinoza,7/30/2022,27,Female,4044,4,Central,4,Service,coupe,B_0248
Kristi Hatfield,9/2/2022,57,Female,4691,6,North,3,Business,hatchback,B_0249
Christina Russell,2/9/2021,32,Female,2971,2,North,1,Personal,hatchback,B_0250
Deborah Dickerson,5/4/2024,41,Female,5574,8,Central,4,Family,mpv,B_0251
Kyle Stevens,6/16/2024,53,Female,7061,9,Central,4,Service,sedan,B_0252
Laura Burnett,8/21/2021,50,Male,1012,8,South,2,Personal,sedan,B_0253
Raymond Farley,5/21/2020,58,Female,6054,4,South,3,Business,suv/crossover,B_0254
Ruth Hall,7/23/2021,35,Female,6913,8,North,5,Family,suv/crossover,B_0255
Cynthia Willis DVM,9/7/2024,25,Female,9189,3,South,3,Business,hatchback,B_0256
Jeffrey Kline,7/28/2021,29,Female,1049,9,South,2,Personal,hatchback,B_0257
Allison Brown,11/23/2019,41,Female,6909,1,South,3,Personal,sedan,B_0258
Katrina Evans,5/30/2019,22,Female,6250,1,North,4,Family,hatchback,B_0259
Patricia Gonzalez,9/15/2023,52,Female,7275,5,South,2,Business,sedan,B_0260
John Harris,5/13/2024,29,Female,4396,9,North,1,Family,hatchback,B_0261
Manuel Foster,10/12/2022,59,Female,925,10,North,0,Personal,mpv,B_0262
Jesse Jenkins,1/29/2024,52,Female,1752,9,South,1,Personal,mpv,B_0263
Bruce Black,5/18/2020,29,Male,7838,10,South,3,Business,coupe,B_0264
Jon Bryant,9/17/2022,35,Female,3425,6,North,2,Business,stationwagon,B_0265
Robin Good,11/5/2023,31,Female,5215,5,Central,3,Business,sedan,B_0266
Kathleen Mendoza,6/22/2022,26,Male,1753,3,Central,2,Personal,sedan,B_0267
Mary Coleman,2/1/2020,27,Female,6669,6,Central,3,Service,hatchback,B_0268
Timothy Murray,10/6/2023,27,Male,5681,8,South,2,Service,hatchback,B_0269
Wanda Melton,3/26/2024,25,Male,618,5,South,1,Personal,hatchback,B_0270
Nicole Phillips,2/6/2022,56,Female,7914,9,South,3,Service,sedan,B_0271
Melissa Ramos,7/6/2021,36,Male,3828,5,South,4,Service,sedan,B_0272
Mr. Sean Wallace,9/19/2020,57,Male,5636,2,North,1,Family,stationwagon,B_0273
Joseph Long,2/10/2024,53,Female,2849,9,North,2,Personal,cabriolet,B_0274
Joshua Singleton,9/12/2022,57,Male,3279,3,Central,2,Service,mpv,B_0275
Zachary Short,8/6/2020,20,Female,3125,9,South,2,Personal,stationwagon,B_0276
Daniel Cervantes,12/3/2021,48,Male,6414,1,Central,3,Personal,hatchback,B_0277
David Dawson,5/17/2020,54,Female,6283,7,Central,3,Personal,cabriolet,B_0278
Erica Lee,8/16/2023,32,Male,3070,8,South,3,Service,mpv,B_0279
Dr. Jimmy Rios,5/18/2021,32,Male,3287,6,South,3,Family,sedan,B_0280
Paul Holland,6/29/2022,40,Female,6987,7,North,5,Business,sedan,B_0281
Amanda Brandt,9/23/2020,60,Male,5161,9,Central,2,Personal,coupe,B_0282
Jennifer Vance,8/25/2023,26,Male,3965,4,North,4,Family,hatchback,B_0283
Robert Gomez,7/26/2024,63,Female,9082,9,North,3,Family,hatchback,B_0284
Amy Romero,1/13/2023,26,Female,9594,7,North,3,Personal,pick-up,B_0285
Patricia Martin,10/24/2021,29,Male,887,10,Central,1,Family,cabriolet,B_0286
Shirley Whitney,3/10/2023,25,Male,7461,10,South,2,Business,sedan,B_0287
Christopher Morgan,7/20/2025,52,Female,9675,5,Central,4,Family,stationwagon,B_0288
Kimberly Miller,7/31/2023,41,Male,716,9,Central,0,Family,hatchback,B_0289
Jennifer Booth,12/17/2020,30,Male,5181,3,Central,4,Business,sedan,B_0290
Derrick Reed,10/30/2018,50,Male,1684,7,Central,2,Personal,sedan,B_0291
Kristen Jackson,5/2/2022,25,Female,9250,6,South,4,Personal,hatchback,B_0292
Jade Johnson,10/9/2019,46,Male,7001,6,North,4,Personal,stationwagon,B_0293
Sara White,3/3/2019,33,Female,5820,1,South,4,Family,mpv,B_0294
Dr. Daniel Johnson,8/5/2020,37,Male,7525,6,North,5,Family,stationwagon,B_0295
Mr. Cody Webster,8/24/2025,40,Male,6117,6,North,4,Business,hatchback,B_0296
Shannon Clements,4/24/2022,41,Male,4702,2,North,4,Business,sedan,B_0297
Sara Fowler,7/28/2024,41,Female,2747,6,South,0,Personal,stationwagon,B_0298
Tracy Finley,2/8/2025,36,Male,7745,2,South,5,Business,stationwagon,B_0299
Melissa Lopez,1/16/2019,61,Female,5046,10,South,3,Service,stationwagon,B_0300
Peggy Erickson,12/17/2019,43,Female,8209,7,Central,2,Service,stationwagon,B_0301
Keith Miller,10/30/2022,40,Male,5602,9,South,2,Service,hatchback,B_0302
Linda Moore,1/27/2020,23,Female,5511,10,Central,3,Personal,mpv,B_0303
Jennifer Obrien,8/10/2022,34,Male,8932,10,Central,2,Family,suv/crossover,B_0304
Victor Watson,1/14/2020,39,Female,5685,9,Central,4,Family,coupe,B_0305
Denise Myers,7/26/2022,50,Female,4779,9,North,2,Personal,mpv,B_0306
Ruben Johnson,11/4/2019,45,Male,9183,10,Central,3,Business,stationwagon,B_0307
Destiny Anderson,1/11/2024,38,Male,6272,2,South,1,Personal,mpv,B_0308
Michael Reid,4/5/2021,62,Male,8866,1,Central,3,Business,sedan,B_0309
Mr. Barry Myers,4/19/2020,23,Female,8343,8,North,3,Business,stationwagon,B_0310
Thomas Lutz,11/5/2023,55,Male,7748,9,North,3,Business,sedan,B_0311
James Matthews,4/1/2024,29,Male,516,4,North,0,Personal,sedan,B_0312
April Jones,3/3/2021,52,Female,8851,2,North,2,Personal,hatchback,B_0313
Michelle Simmons,10/26/2018,23,Male,9389,7,Central,3,Business,sedan,B_0314
Melanie Bell,5/16/2025,23,Male,4733,8,Central,2,Personal,mpv,B_0315
Andrew Gordon,11/17/2022,31,Male,3821,10,South,2,Service,sedan,B_0316
Arthur Henderson,12/26/2020,51,Female,9628,5,South,2,Personal,hatchback,B_0317
Meghan Shields,12/23/2019,53,Female,3057,10,Central,2,Business,hatchback,B_0318
Mary Baker,3/29/2021,38,Male,4095,10,South,4,Personal,stationwagon,B_0319
Howard Gonzales,4/5/2022,45,Male,2712,10,Central,1,Business,hatchback,B_0320
Richard Liu,3/17/2023,65,Female,9329,4,South,3,Family,cabriolet,B_0321
Katherine Mcfarland,6/18/2021,45,Female,8257,5,Central,5,Business,hatchback,B_0322
Leslie Huber MD,7/18/2020,52,Female,4202,1,South,3,Family,coupe,B_0323
